,1d,1d_prc,prc_volume
1939,6.82,0.10120195900000001,0.70059752
1940,3.67,0.052027219000000006,-0.120807805
1941,9.88,0.15358308699999998,0.7144269870000001
1942,7.0,0.104151168,1.868321156
1943,3.08,0.043300998,1.5770089790000001
1944,1.75,0.024151256,1.570608159
1945,2.38,0.033133788,0.6069778379999999
1946,3.25,0.045800451,0.61533841
1947,0.8,0.010897698,0.8611029370000001
1948,3.37,0.047571993,0.004532486
1949,2.1,0.029122174,1.081110231
1950,15.32,0.11233318699999999,-0.39100999399999997
1951,15.76,0.11593350000000001,-0.263601336
1952,20.23,0.153875409,-0.196671578
1953,20.98,0.16049571599999998,-0.21996084300000002
1954,19.31,0.14585693800000002,-0.388457406
1955,23.35,0.181924425,-0.609495231
1956,16.21,0.11963982599999999,-0.47341805600000003
1957,16.06,0.118401651,-0.7200821470000001
1958,22.04,0.169983033,-0.627898991
1959,24.84,0.19580640100000002,-0.44934509899999997
1960,27.84,0.224769902,-0.6670228220000001
1961,26.27,0.209439528,-0.47884892100000004
1962,25.51,0.20215548,-0.441838461
1963,18.87,0.14206128099999998,-0.681008807
1964,21.17,0.162184938,-0.679964162
1965,16.51,0.122124417,-0.26828282800000003
1966,4.3,0.02917232,-0.275295928
1967,5.95,0.040823328,-0.35698820600000003
1968,5.51,0.037690677,0.082436782
1969,3.48,0.023478613,-0.154787859
1970,-2.39,-0.015510416,-0.193293357
1971,-9.33,-0.057939514000000004,-0.47411310799999995
1972,-10.58,-0.065195958,-0.254432129
1973,4.24,0.02875356,-0.444412979
1974,-4.19,-0.026877927000000003,-0.186642588
1975,-4.76,-0.030423111,-0.674268285
1976,6.33,0.04354406,-0.428
1977,3.23,0.021755237,0.11230752699999999
1978,6.52,0.044909767,-0.314750281
1979,7.8,0.054204309000000006,-0.11936410800000001
1980,9.73,0.068535606,0.09167667800000001
1981,8.34,0.058175223,0.078941777
1982,6.25,0.042970093,0.025229612000000002
1983,0.17,0.00112189,-0.17360031899999998
1984,0.69,0.004569234,0.075469269
1985,1.55,0.01032301,0.315084423
1986,3.72,0.025138532,0.490492086
1987,3.13,0.02106751,0.035167382999999997
1988,2.26,0.015123126,-0.46005108200000006
1989,2.84,0.019078328999999998,-0.264699035
1990,4.96,0.033801281,-0.375818269
1991,4.46,0.030290682000000003,-0.507632492
